data,roll(fi) angle,pitch(theta) angle
1970-01-01 13:01:41,-178.7346,-1.3225
1970-01-01 13:01:51,-178.8415,-1.5635
1970-01-01 13:02:01,-178.5957,-1.4624
1970-01-01 13:02:11,-178.8356,-1.6296
1970-01-01 13:02:21,-178.9016,-1.3293
1970-01-01 13:02:31,-178.9071,-1.2076
1970-01-01 13:02:41,-178.6705,-1.4447
1970-01-01 13:02:51,-178.6678,-1.6791
1970-01-01 13:03:01,-178.6057,-1.8003
1970-01-01 13:03:11,-178.7848,-1.6197
1970-01-01 13:03:21,-178.9016,-1.5604
1970-01-01 13:03:31,-178.6155,-1.1535
1970-01-01 13:03:41,-178.5636,-1.723
1970-01-01 13:03:51,-178.491,-1.6244
1970-01-01 13:04:01,-178.7885,-1.2689
1970-01-01 13:04:11,-178.9005,-1.5619
1970-01-01 13:04:21,-178.6155,-1.6723
1970-01-01 13:04:31,-178.8983,-1.681
1970-01-01 13:04:41,-178.714,-1.4025
1970-01-01 13:04:51,-178.9594,-1.3871
1970-01-01 13:05:01,-178.7397,-1.489
1970-01-01 13:05:11,-178.6169,-1.3251
1970-01-01 13:05:21,-178.7811,-1.3926
1970-01-01 13:05:31,-178.7737,-1.8096
1970-01-01 13:05:41,-178.9636,-1.7842
1970-01-01 13:05:51,-178.9038,-1.3266
1970-01-01 13:06:01,-178.6678,-1.2161
1970-01-01 13:06:11,-178.4394,-1.6178
1970-01-01 13:06:21,-178.5002,-1.4417
1970-01-01 13:06:31,-178.9038,-1.4996
1970-01-01 13:06:41,-178.786,-1.5603
1970-01-01 13:06:51,-178.549,-1.6824
1970-01-01 13:07:01,-178.6705,-1.5602
1970-01-01 13:07:11,-178.4378,-1.5038
1970-01-01 13:07:21,-178.7897,-1.6708
1970-01-01 13:07:31,-178.7897,-1.498
1970-01-01 13:07:41,-178.8427,-1.5041
1970-01-01 13:07:51,-178.7166,-1.5746
1970-01-01 13:08:01,-178.7774,-1.5714
1970-01-01 13:08:11,-179.0806,-1.4362
1970-01-01 13:08:21,-178.6731,-1.6147
1970-01-01 13:08:31,-178.9646,-1.3801
1970-01-01 13:08:41,-178.8427,-1.5619
1970-01-01 13:08:51,-178.5002,-1.7875
1970-01-01 13:09:01,-178.7283,-1.7335
1970-01-01 13:09:11,-178.5607,-1.3813
1970-01-01 13:09:21,-179.0212,-1.9568
1970-01-01 13:09:31,-178.6651,-1.5665
1970-01-01 13:09:41,-178.6691,-1.2727
1970-01-01 13:09:51,-178.9038,-1.4419
1970-01-01 13:10:01,-178.8438,-1.9646
1970-01-01 13:10:11,-178.6085,-1.6229
1970-01-01 13:10:21,-178.4234,-1.4593
1970-01-01 13:10:31,-178.9005,-1.9088
1970-01-01 13:10:41,-179.0102,-1.3388
1970-01-01 13:10:51,-178.8994,-1.4478
1970-01-01 13:11:01,-178.7295,-1.6164
1970-01-01 13:11:11,-178.4818,-1.3426
1970-01-01 13:11:21,-178.838,-1.2199
1970-01-01 13:11:31,-178.7836,-1.4477
1970-01-01 13:11:41,-178.9615,-1.7302
1970-01-01 13:11:51,-178.7873,-1.7318
1970-01-01 13:12:01,-178.7179,-1.5147
1970-01-01 13:12:11,-178.7192,-1.455
1970-01-01 13:12:21,-178.8949,-1.3374
1970-01-01 13:12:31,-178.906,-1.6692
1970-01-01 13:12:41,-178.786,-1.6758
1970-01-01 13:12:51,-178.4864,-1.3385
1970-01-01 13:13:01,-178.552,-1.3897
1970-01-01 13:13:11,-178.6099,-1.6791
1970-01-01 13:13:21,-178.8519,-1.6641
1970-01-01 13:13:31,-178.4818,-1.576
1970-01-01 13:13:41,-178.7192,-1.2805
1970-01-01 13:13:51,-178.7334,-1.8416
1970-01-01 13:14:01,-178.7295,-1.7318
1970-01-01 13:14:11,-179.0769,-1.3843
1970-01-01 13:14:21,-178.6014,-1.2817
1970-01-01 13:14:31,-178.4926,-1.9703
1970-01-01 13:14:41,-178.0015,-2.2254
1970-01-01 13:14:51,-178.7824,-1.7388
1970-01-01 13:15:01,-178.8961,-1.5102
1970-01-01 13:15:11,-178.6141,-1.674
1970-01-01 13:15:21,-178.5564,-1.9624
1970-01-01 13:15:31,-178.4378,-1.7351
1970-01-01 13:15:41,-178.7897,-1.5556
1970-01-01 13:15:51,-179.0703,-1.3942
1970-01-01 13:16:01,-178.8949,-1.8023
1970-01-01 13:16:11,-178.8392,-1.7986
1970-01-01 13:16:21,-178.5549,-1.6179
1970-01-01 13:16:31,-178.7885,-1.6148
1970-01-01 13:16:41,-178.6113,-1.504
1970-01-01 13:16:51,-178.7824,-1.623
1970-01-01 13:17:01,-178.7885,-1.7877
1970-01-01 13:17:11,-178.5505,-1.6228
1970-01-01 13:17:21,-179.0212,-1.7267
1970-01-01 13:17:31,-178.5002,-1.6146
1970-01-01 13:17:41,-178.6085,-1.5649
1970-01-01 13:17:51,-178.4409,-1.6162
1970-01-01 13:18:01,-178.8927,-1.3401
1970-01-01 13:18:11,-178.9584,-1.3885
1970-01-01 13:18:21,-178.6099,-1.5633
1970-01-01 13:18:31,-178.7811,-1.7406
1970-01-01 13:18:41,-178.6028,-1.3968
1970-01-01 13:18:51,-178.7811,-1.5086
1970-01-01 13:19:01,-179.0152,-1.2741
1970-01-01 13:19:11,-179.0182,-1.328
1970-01-01 13:19:21,-178.6637,-1.7423
1970-01-01 13:19:31,-178.433,-1.9722
1970-01-01 13:19:41,-178.7244,-1.9125
1970-01-01 13:19:51,-178.9563,-1.6231
1970-01-01 13:20:01,-178.9049,-1.3253
1970-01-01 13:20:11,-178.5593,-1.4403
1970-01-01 13:20:21,-178.3783,-1.3317
1970-01-01 13:20:31,-178.3305,-1.7263
1970-01-01 13:20:41,-179.1882,-1.739
1970-01-01 13:20:51,-178.6758,-1.8416
1970-01-01 13:21:01,-178.7799,-2.1485
1970-01-01 13:21:11,-178.4941,-1.4475
1970-01-01 13:21:21,-178.786,-1.6181
1970-01-01 13:21:31,-178.7921,-1.3226
1970-01-01 13:21:41,-178.7244,-1.6809
1970-01-01 13:21:51,-178.8983,-1.5651
1970-01-01 13:22:01,-178.5971,-1.8113
1970-01-01 13:22:11,-178.786,-1.7913
1970-01-01 13:22:21,-178.7921,-1.4375
1970-01-01 13:22:31,-178.6718,-1.501
1970-01-01 13:22:41,-178.3848,-1.4993
1970-01-01 13:22:51,-178.4895,-1.8002
1970-01-01 13:23:01,-178.727,-1.3884
1970-01-01 13:23:11,-178.7836,-1.6213
1970-01-01 13:23:21,-178.8415,-1.3898
1970-01-01 13:23:31,-178.7334,-1.554
1970-01-01 13:23:41,-178.549,-1.8564
1970-01-01 13:23:51,-178.7836,-1.6213
1970-01-01 13:24:01,-178.7873,-1.7895
1970-01-01 13:24:11,-178.9646,-1.2077
1970-01-01 13:24:21,-178.549,-1.2765
1970-01-01 13:24:31,-178.6678,-1.6791
1970-01-01 13:24:41,-178.6745,-1.8434
1970-01-01 13:24:51,-178.9038,-1.3843
1970-01-01 13:25:01,-178.7308,-1.73
1970-01-01 13:25:11,-178.5549,-1.7334
1970-01-01 13:25:21,-178.9573,-1.795
1970-01-01 13:25:31,-178.9049,-1.4981
1970-01-01 13:25:41,-178.9049,-1.0949
1970-01-01 13:25:51,-178.7244,-1.6229
1970-01-01 13:26:01,-178.6,-1.3996
1970-01-01 13:26:11,-178.6624,-1.5116
1970-01-01 13:26:21,-178.6651,-1.3346
1970-01-01 13:26:31,-178.6771,-1.8397
1970-01-01 13:26:41,-178.565,-1.7786
1970-01-01 13:26:51,-178.7283,-1.7913
1970-01-01 13:27:01,-179.0132,-1.6247
1970-01-01 13:27:11,-178.8496,-1.7249
1970-01-01 13:27:21,-178.9071,-1.7249
1970-01-01 13:27:31,-178.8473,-1.786
1970-01-01 13:27:41,-178.6155,-1.5571
1970-01-01 13:27:51,-178.6042,-1.5116
1970-01-01 13:28:01,-178.6057,-1.7422
1970-01-01 13:28:11,-179.0769,-1.4997
1970-01-01 13:28:21,-178.9005,-1.5041
1970-01-01 13:28:31,-179.0122,-1.3361
1970-01-01 13:28:41,-178.661,-1.2804
1970-01-01 13:28:51,-178.5002,-1.6722
1970-01-01 13:29:01,-178.7946,-1.4346
1970-01-01 13:29:11,-179.1354,-1.8437
1970-01-01 13:29:21,-178.7218,-1.9744
1970-01-01 13:29:31,-178.8368,-1.8023
1970-01-01 13:29:41,-178.6691,-1.793
1970-01-01 13:29:51,-178.9688,-1.8898
1970-01-01 13:30:01,-178.549,-1.7984
1970-01-01 13:30:11,-178.6731,-1.6724
1970-01-01 13:30:21,-178.4487,-1.7229
1970-01-01 13:30:31,-178.5032,-1.2662
1970-01-01 13:30:41,-178.9049,-1.1525
1970-01-01 13:30:51,-178.7218,-1.4521
1970-01-01 13:31:01,-178.7737,-1.4011
1970-01-01 13:31:11,-178.7737,-1.226
1970-01-01 13:31:21,-179.4154,-0.5846
1970-01-01 13:31:31,-178.0074,-0.7968
1970-01-01 13:31:41,-179.1328,-1.5605
1970-01-01 13:31:51,-178.5417,-1.1081
1970-01-01 13:32:01,-179.1168,-1.1186
1970-01-01 13:32:11,-178.9456,-1.4055
1970-01-01 13:32:21,-178.5534,-1.7352
1970-01-01 13:32:31,-178.8949,-2.267
1970-01-01 13:32:41,-178.6597,-2.504
1970-01-01 13:32:51,-179.3628,-2.7784
1970-01-01 13:33:01,-178.9636,-2.8189
1970-01-01 13:33:11,-179.1346,-2.8247
1970-01-01 13:33:21,-178.7257,-2.6045
